------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 042A 9E00 EA0E 01
custom name, 96
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4841
time diff [logger-smartphone](sec), 47
lat, 48.596816
long, -123.144764
accuracy (m), 13.6
------------------------------,--------------------
time,temp
2025-06-26 07:15:01,11.9
2025-06-26 07:20:01,11.9
2025-06-26 07:25:01,11.9
2025-06-26 07:30:01,11.9
2025-06-26 07:35:01,11.9
2025-06-26 07:40:01,11.9
2025-06-26 07:45:01,12.0
2025-06-26 07:50:01,12.0
2025-06-26 07:55:01,11.9
2025-06-26 08:00:01,12.0
2025-06-26 08:05:01,11.9
2025-06-26 08:10:01,12.0
2025-06-26 08:15:01,11.9
2025-06-26 08:20:01,11.9
2025-06-26 08:25:01,12.0
2025-06-26 08:30:01,11.9
2025-06-26 08:35:01,11.9
2025-06-26 08:40:01,11.8
2025-06-26 08:45:01,11.7
2025-06-26 08:50:01,11.7
2025-06-26 08:55:01,11.6
2025-06-26 09:00:01,11.6
2025-06-26 09:05:01,11.6
2025-06-26 09:10:01,11.6
2025-06-26 09:15:01,11.7
2025-06-26 09:20:01,11.7
2025-06-26 09:25:01,11.7
2025-06-26 09:30:01,11.6
2025-06-26 09:35:01,11.7
2025-06-26 09:40:01,11.7
2025-06-26 09:45:01,11.8
2025-06-26 09:50:01,11.7
2025-06-26 09:55:01,11.7
2025-06-26 10:00:01,11.6
2025-06-26 10:05:01,11.5
2025-06-26 10:10:01,11.5
2025-06-26 10:15:01,11.4
2025-06-26 10:20:01,11.4
2025-06-26 10:25:01,11.5
2025-06-26 10:30:01,11.5
2025-06-26 10:35:01,11.4
2025-06-26 10:40:01,11.5
2025-06-26 10:45:01,11.5
2025-06-26 10:50:01,11.5
2025-06-26 10:55:01,11.5
2025-06-26 11:00:01,11.5
2025-06-26 11:05:01,11.4
2025-06-26 11:10:01,11.4
2025-06-26 11:15:01,11.5
2025-06-26 11:20:01,11.4
2025-06-26 11:25:01,11.5
2025-06-26 11:30:01,11.6
2025-06-26 11:35:01,11.6
2025-06-26 11:40:01,11.6
2025-06-26 11:45:01,11.6
2025-06-26 11:50:01,11.5
2025-06-26 11:55:01,11.5
2025-06-26 12:00:01,11.6
2025-06-26 12:05:01,11.6
2025-06-26 12:10:01,11.5
2025-06-26 12:15:01,11.6
2025-06-26 12:20:01,11.9
2025-06-26 12:25:01,12.3
2025-06-26 12:30:01,12.5
2025-06-26 12:35:01,12.7
